,country,restaurant_cnt,cuisine,cuisine_cnt
210,Austria,20487,Fast food,505.0
211,Belgium,23711,Fast food,995.0
212,Bulgaria,4469,Fast food,202.0
213,Croatia,8375,Fast food,441.0
214,Czech Republic,14844,Fast food,665.0
215,Denmark,9485,Fast food,490.0
216,Finland,7372,Fast food,479.0
217,France,155288,Fast food,9129.0
218,Germany,115333,Fast food,4312.0
219,Greece,33763,Fast food,1640.0
220,Hungary,7431,Fast food,443.0
221,Ireland,11203,Fast food,985.0
222,Italy,224763,Fast food,8348.0
223,Poland,24698,Fast food,926.0
224,Portugal,32592,Fast food,935.0
225,Romania,7842,Fast food,397.0
226,Slovakia,4251,Fast food,188.0
227,Spain,157479,Fast food,6040.0
228,Sweden,18555,Fast food,772.0
229,The Netherlands,29792,Fast food,1129.0
230,United Kingdom,171664,Fast food,22133.0
231,Austria,20487,Turkish,212.0
232,Belgium,23711,Turkish,274.0
233,Bulgaria,4469,Turkish,76.0
234,Croatia,8375,Turkish,40.0
235,Czech Republic,14844,Turkish,78.0
236,Denmark,9485,Turkish,84.0
237,Finland,7372,Turkish,141.0
238,France,155288,Turkish,1808.0
239,Germany,115333,Turkish,2469.0
240,Greece,33763,Turkish,101.0
241,Hungary,7431,Turkish,72.0
242,Ireland,11203,Turkish,50.0
243,Italy,224763,Turkish,716.0
244,Poland,24698,Turkish,312.0
245,Portugal,32592,Turkish,115.0
246,Romania,7842,Turkish,144.0
247,Slovakia,4251,Turkish,21.0
248,Spain,157479,Turkish,729.0
249,Sweden,18555,Turkish,144.0
250,The Netherlands,29792,Turkish,558.0
251,United Kingdom,171664,Turkish,3174.0
252,Austria,20487,Mexican,115.0
253,Belgium,23711,Mexican,134.0
254,Bulgaria,4469,Mexican,40.0
255,Croatia,8375,Mexican,54.0
256,Czech Republic,14844,Mexican,152.0
257,Denmark,9485,Mexican,121.0
258,Finland,7372,Mexican,113.0
259,France,155288,Mexican,726.0
260,Germany,115333,Mexican,721.0
261,Greece,33763,Mexican,152.0
262,Hungary,7431,Mexican,93.0
263,Ireland,11203,Mexican,107.0
264,Italy,224763,Mexican,826.0
265,Poland,24698,Mexican,223.0
266,Portugal,32592,Mexican,169.0
267,Romania,7842,Mexican,62.0
268,Slovakia,4251,Mexican,29.0
269,Spain,157479,Mexican,1891.0
270,Sweden,18555,Mexican,201.0
271,The Netherlands,29792,Mexican,239.0
272,United Kingdom,171664,Mexican,1196.0
273,Austria,20487,Seafood,373.0
274,Belgium,23711,Seafood,1174.0
275,Bulgaria,4469,Seafood,520.0
276,Croatia,8375,Seafood,2719.0
277,Czech Republic,14844,Seafood,145.0
278,Denmark,9485,Seafood,393.0
279,Finland,7372,Seafood,79.0
